player_id,player_display_name,week,season_type,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0039821,Andru Phillips,9,REG,NYG,SF,1,0,0,1,0,0,0,0,0,0,0,0
00-0039825,Jaden Hicks,9,REG,KC,BUF,2,0,0,0,0,0,0,0,0,0,0,0
00-0039829,Darius Muasau,9,REG,NYG,SF,2,0,2,0,0,0,0,0,0,0,0,0
00-0039834,Kamren Kinchens,9,REG,LA,NO,5,0,0,0,0,0,0,0,0,0,0,0
00-0039835,Justin Eboigbe,9,REG,LAC,TEN,1,0,0,0,0,0,0,0,0,0,0,0
00-0039838,Calen Bullock,9,REG,HOU,DEN,2,0,0,0,0,0,0,1,1,0,0,0
00-0039840,Austin Booker,9,REG,CHI,CIN,2,0,0,1,1,1,1,0,0,0,0,0
00-0039850,Edgerrin Cooper,9,REG,GB,CAR,3,0,5,0,0,0,0,0,0,0,0,0
00-0039852,Jared Verse,9,REG,LA,NO,0,0,1,0,0,0,0,0,0,0,0,0
00-0039854,Darius Robinson,9,REG,ARI,DAL,0,0,1,0,0,0,0,0,0,0,0,0
00-0039858,Cedric Gray,9,REG,TEN,LAC,11,0,5,1,0,1,1,0,0,0,0,0
00-0039859,Brandon Dorlus,9,REG,ATL,NE,3,0,1,2,0,2,2,0,0,0,0,0
00-0039860,Kool-Aid McKinstry,9,REG,NO,LA,3,0,4,0,0,0,0,0,0,0,0,0
00-0039861,Tyler Nubin,9,REG,NYG,SF,3,0,5,0,0,0,0,0,0,0,0,0
00-0039864,Dadrion Taylor-Demerson,9,REG,ARI,DAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0039867,Javon Bullard,9,REG,GB,CAR,3,0,1,0,0,0,0,0,0,0,0,0
00-0039872,Cole Bishop,9,REG,BUF,KC,4,0,3,1,0,0,0,0,4,0,0,0
00-0039879,Javon Solomon,9,REG,BUF,KC,0,0,1,0,0,0,0,0,0,0,0,0
00-0039886,T'Vondre Sweat,9,REG,TEN,LAC,1,1,1,1,0,0,0,0,1,0,0,0
